iter	Passed	Remaining
647	1251	679
648	1252	677
649	1254	675
650	1256	673
651	1258	671
652	1259	669
653	1261	667
654	1262	665
655	1264	663
656	1266	661
657	1267	658
658	1269	656
659	1271	654
660	1272	652
661	1274	650
662	1277	649
663	1279	647
664	1280	645
665	1282	643
666	1284	641
667	1285	639
668	1287	637
669	1289	635
670	1291	633
671	1292	631
672	1294	629
673	1296	627
674	1298	625
675	1300	623
676	1301	620
677	1303	618
678	1304	616
679	1306	614
680	1308	612
681	1310	611
682	1312	609
683	1313	606
684	1315	604
685	1317	603
686	1319	600
687	1320	598
688	1322	597
689	1324	595
690	1326	592
691	1327	591
692	1329	588
693	1331	586
694	1333	585
695	1334	583
696	1336	580
697	1338	578
698	1339	576
699	1341	574
700	1342	572
701	1344	570
702	1346	568
703	1347	566
704	1349	564
705	1351	562
706	1352	560
707	1354	558
708	1356	556
709	1358	554
710	1359	552
711	1361	550
712	1363	548
713	1364	546
714	1366	544
715	1368	542
716	1369	540
717	1371	538
718	1373	536
719	1375	534
720	1376	532
721	1378	530
722	1379	528
723	1381	526
724	1383	524
725	1385	522
726	1386	520
727	1388	518
728	1390	516
729	1391	514
730	1393	512
731	1395	510
732	1396	508
733	1398	506
734	1400	504
735	1402	502
736	1403	500
737	1405	498
738	1407	496
739	1408	495
740	1410	492
741	1412	491
742	1414	489
743	1416	487
744	1418	485
745	1419	483
746	1421	481
747	1423	479
748	1424	477
749	1426	475
750	1428	473
751	1430	471
752	1431	469
753	1433	467
754	1435	465
755	1436	463
756	1438	461
757	1440	459
758	1441	457
759	1443	455
760	1445	454
761	1447	452
762	1449	450
763	1451	448
764	1452	446
765	1454	444
766	1456	442
767	1458	440
768	1460	438
769	1462	436
770	1464	434
771	1465	432
772	1467	430
773	1469	428
774	1470	427
775	1472	425
776	1475	423
777	1476	421
778	1478	419
779	1480	417
780	1482	415
781	1484	413
782	1485	411
783	1487	409
784	1489	408
785	1491	406
786	1493	404
787	1496	402
788	1498	400
789	1500	398
790	1503	397
791	1504	395
792	1507	393
793	1509	391
794	1510	389
795	1512	387
796	1514	385
797	1516	383
798	1518	382
799	1520	380
800	1522	378
801	1523	376
802	1525	374
803	1527	372
804	1529	370
805	1531	368
806	1532	366
807	1545	367
808	1547	365
809	1549	363
810	1551	361
811	1552	359
812	1554	357
813	1556	355
814	1558	353
815	1559	351
816	1561	349
817	1563	347
818	1565	345
819	1567	343
820	1569	342
821	1571	340
822	1573	338
823	1575	336
824	1577	334
825	1579	332
826	1581	330
827	1582	328
828	1585	327
829	1587	325
830	1590	323
831	1592	321
832	1593	319
833	1596	317
834	1598	315
835	1600	313
836	1602	312
837	1604	310
838	1607	308
839	1608	306
840	1610	304
841	1612	302
842	1614	300
843	1616	298
844	1618	296
845	1620	294
846	1622	293
847	1624	291
848	1626	289
849	1629	287
850	1631	285
851	1633	283
852	1635	281
853	1637	279
854	1639	278
855	1641	276
856	1643	274
857	1645	272
858	1647	270
859	1649	268
860	1651	266
861	1653	264
862	1654	262
863	1657	260
864	1659	258
865	1660	256
866	1663	255
867	1664	253
868	1666	251
869	1668	249
870	1670	247
871	1672	245
872	1674	243
873	1675	241
874	1677	239
875	1680	237
876	1682	235
877	1684	234
878	1686	232
879	1688	230
880	1691	228
881	1692	226
882	1694	224
883	1696	222
884	1698	220
885	1700	218
886	1703	216
887	1705	215
888	1708	213
889	1710	211
890	1712	209
891	1714	207
892	1716	205
893	1718	203
894	1720	201
895	1722	199
896	1724	197
897	1726	196
898	1727	194
899	1729	192
900	1731	190
901	1733	188
902	1735	186
903	1737	184
904	1740	182
905	1742	180
906	1744	178
907	1746	176
908	1748	174
909	1749	173
910	1751	171
911	1753	169
912	1754	167
913	1757	165
914	1759	163
915	1761	161
916	1763	159
917	1765	157
918	1768	155
919	1771	154
920	1773	152
921	1775	150
922	1777	148
923	1779	146
924	1781	144
925	1783	142
926	1785	140
927	1786	138
928	1788	136
929	1790	134
930	1792	132
931	1794	130
932	1796	129
933	1798	127
934	1800	125
935	1802	123
936	1804	121
937	1805	119
938	1807	117
939	1809	115
940	1811	113
941	1813	111
942	1814	109
943	1816	107
944	1818	105
945	1819	103
946	1821	101
947	1823	100
948	1825	98
949	1826	96
950	1828	94
951	1830	92
952	1832	90
953	1833	88
954	1836	86
955	1838	84
956	1840	82
957	1842	80
958	1844	78
959	1846	76
960	1847	74
961	1849	73
962	1851	71
963	1853	69
964	1854	67
965	1856	65
966	1858	63
967	1859	61
968	1861	59
969	1863	57
970	1864	55
971	1866	53
972	1868	51
973	1869	49
974	1871	47
975	1873	46
976	1875	44
977	1876	42
978	1878	40
979	1880	38
980	1882	36
981	1884	34
982	1886	32
983	1887	30
984	1889	28
985	1891	26
986	1892	24
987	1894	23
988	1896	21
989	1897	19
990	1899	17
991	1901	15
992	1903	13
993	1904	11
994	1906	9
995	1908	7
996	1909	5
997	1911	3
998	1913	1
999	1915	0
